,Application_ID,Python (out of 3),R Programming (out of 3),Deep Learning (out of 3),PHP (out of 3),MySQL (out of 3),HTML (out of 3),CSS (out of 3),JavaScript (out of 3),AJAX (out of 3),Bootstrap (out of 3),MongoDB (out of 3),Node.js (out of 3),ReactJS (out of 3),Other skills,Data_Scientist_Total,Web_Development_Total,Web_Development_Eligibility,Data_Scientist_Eligibility,Post Assigned
123,ML0127,1,0,0,0,0,0,0,0,0,0,0,0,0,"English Proficiency (Spoken), Catia, MS-Office, C Programming, C++ Programming, Data Analytics, Java, Machine Learning, Python",3,0,0,0,0
124,ML0128,2,2,0,0,0,0,0,0,0,0,0,0,0,"MS-Excel, SQL, Machine Learning, Python, R Programming",5,0,0,0,0
125,ML0129,2,0,0,0,0,0,0,0,0,0,0,2,0,"Amazon Web Services (AWS), Data Science, Python",2,2,0,0,0
126,ML0130,2,0,1,0,3,3,3,3,0,0,0,0,0,"English Proficiency (Spoken), MS-Excel, Data Analytics, Python, Deep Learning, Machine Learning",9,9,1,0,2
127,ML0131,2,0,0,2,0,0,0,0,0,0,0,0,0,"C++ Programming, Java, Blockchain, C Programming, Python, Servlets, AJAX, CSS, Data Science, HTML, J2EE, JavaScript, Machine Learning, Neural Networks",3,2,0,0,0
128,ML0132,2,0,0,0,0,3,2,2,0,0,0,0,0,"SQL, Algorithms, Data Analytics, Data Structures, MS-Excel, Machine Learning, Mathematics, Python",6,7,0,0,0
129,ML0133,2,0,0,2,1,0,0,0,0,0,0,0,0,"Machine Learning, Python, Data Analytics, Power BI, SQL",6,2,0,0,0
130,ML0134,2,0,0,0,0,0,0,0,0,0,0,0,0,"Data Analytics, English Proficiency (Spoken), Machine Learning, Python",4,0,0,0,0
131,ML0135,2,0,0,0,2,2,2,1,1,1,0,0,0,"Data Analytics, Linear Programming, MS-Excel, Machine Learning, Python, SQL, Statistical Modeling",7,7,0,0,0
132,ML0136,2,2,0,2,0,2,2,0,0,0,0,0,0,"Data Analytics, MS-Office, Python, R Programming, SAS",5,6,0,0,0
133,ML0137,2,2,0,1,0,2,2,1,0,0,0,0,0,"Data Analytics, Data Science, Python, R Programming, SAS",5,6,0,0,0
134,ML0138,2,3,0,0,0,2,1,0,0,0,0,0,0,"R Programming, MS-Excel, MS-PowerPoint, MS-Word, Python, Hadoop, Java, Linux, Machine Learning",7,3,0,0,0
135,ML0139,0,1,2,2,2,2,2,2,0,0,0,0,0,"CSS, HTML, Adobe Dreamweaver, BIG DATA ANALYTICS, C Programming, Computer Networking, Computer Networks, Data Analytics, Deep Learning, Image Processing, Machine Learning, MongoDB, NoSQL, SQL, C++ Programming, Data Structures, Ethical Hacking, R Programming",11,8,1,1,3
136,ML0140,2,0,2,2,2,3,3,2,0,2,2,2,0,"Data Analytics, Deep Learning, Machine Learning, MySQL, Python, Statistical Modeling",12,14,1,1,3
137,ML0141,2,0,0,0,0,2,1,2,0,0,1,1,1,"Python, Data Analytics, Data Science, Java, Machine Learning",5,7,0,0,0
138,ML0142,1,0,0,0,0,0,0,0,0,0,0,0,0,"Computer Vision, Data Analytics, MS-Excel, MySQL, Python",3,0,0,0,0
139,ML0143,2,2,0,0,0,2,2,0,0,0,0,0,0,"HTML, C Programming, CSS, Data Analytics, Java, MS-Excel, MySQL, PHP, Python, R Programming, Machine Learning",6,4,0,0,0
140,ML0144,2,0,2,0,0,0,0,0,0,0,0,0,0,"Algorithms, Articulate Storyline, Audacity, AutoCAD, Data Analytics, Deep Learning, Machine Learning, Natural Language Processing (NLP), Python, SQL",9,0,1,0,2
141,ML0145,2,3,0,0,2,0,2,2,0,0,0,0,0,"Data Analytics, Data Science, MS-Excel, Machine Learning, R Programming, MongoDB, Python, Statistical Modeling, Tableau",11,4,1,1,3
142,ML0146,3,0,0,0,0,2,0,0,0,0,0,0,0,"MS-Excel, Machine Learning, Python, SQL",4,2,0,0,0
143,ML0147,2,0,0,0,0,2,2,1,0,0,0,0,0,"MS-Excel, Python, Machine Learning",3,5,0,0,0
144,ML0148,2,0,2,0,0,0,0,0,0,0,0,0,0,"Machine Learning, Data Analytics, Deep Learning, MySQL, Natural Language Processing (NLP), Neural Networks, Python, OpenCV",8,0,0,0,0
145,ML0149,2,0,2,1,0,1,1,1,0,0,0,0,0,"Deep Learning, Java, Machine Learning, Python",6,4,0,0,0
146,ML0150,1,0,0,1,1,1,1,0,0,0,0,0,0,"MS-PowerPoint, MS-Word, Data Analytics, Python, SQL",3,3,0,0,0
147,ML0151,1,0,0,0,0,2,2,0,0,0,0,0,0,"English Proficiency (Spoken), Java, MS-Excel, SQL, Data Analytics, Machine Learning, Python",3,4,0,0,0
148,ML0152,1,2,0,1,0,1,1,1,0,0,0,0,0,"MS-Excel, R Programming, Data Structures, Python, SQL",4,4,0,0,0
149,ML0153,3,0,1,0,0,1,1,1,0,0,0,0,0,"MS-Excel, PostgreSQL, Python, SAS, BIG DATA ANALYTICS, GitHub, Natural Language Processing (NLP), OpenCV, Deep Learning, MongoDB",8,3,0,0,0
150,ML0154,2,0,0,0,0,2,2,0,0,2,0,0,0,"C Programming, Image Processing, Java, Machine Learning, Python, Neural Networks, SQL",4,6,0,0,0
151,ML0155,2,0,2,0,2,2,2,1,0,2,0,0,0,"Computer Vision, Deep Learning, Machine Learning, Natural Language Processing (NLP), Neural Networks, OpenCV, Python",10,7,1,0,2
152,ML0156,2,0,0,0,0,0,0,0,0,0,0,0,0,"C Programming, Data Science, Database Management System (DBMS), HTML, Machine Learning, OpenCV, Python, Django, MySQL",3,1,0,0,0
153,ML0157,3,1,0,1,2,1,2,0,0,2,0,0,0,"Python, Data Structures, Flask, SQL, R Programming",8,6,0,0,0
154,ML0158,1,0,0,2,0,2,2,2,0,0,0,0,0,"HTML, MS-Office, Adobe Flash, Algorithms, C++ Programming, Data Structures, Eclipse (IDE), GitHub, Java, Linux, Machine Learning, MySQL, Node.js, PHP, Robotics, Software Testing, Android, Kotlin, Python",4,8,0,0,0
155,ML0159,3,0,0,2,3,3,2,2,0,2,0,2,0,"Python, Algorithms, Data Structures, Django, Machine Learning, Statistical Modeling",10,14,1,0,2
156,ML0160,2,0,2,0,0,0,0,0,0,0,0,0,0,"Algorithms, C++ Programming, Data Structures, Deep Learning, Machine Learning, OpenCV, Python",8,0,0,0,0
157,ML0161,3,0,0,0,0,0,0,0,0,0,0,0,0,"C Programming, Java, MS-Word, Python, Cloud Computing, Django, Image Processing, MS-Office, SQL, JavaScript, PHP",5,1,0,0,0
158,ML0162,0,0,0,3,0,3,2,3,0,0,0,0,0,"Adobe Photoshop, MS-Office, ANSYS, Adobe Illustrator, Java, MATLAB, SPSS",2,12,0,0,0
159,ML0163,2,0,0,0,0,2,0,2,0,0,0,0,0,"Data Analytics, Machine Learning, Python",4,4,0,0,0
160,ML0164,2,0,0,0,0,0,0,0,0,0,0,0,0,"Data Science, Image Processing, Python",3,0,0,0,0
161,ML0165,1,1,0,0,0,0,0,0,0,0,0,0,0,"C Programming, C++ Programming, Catia, Data Analytics, Data Science, MS-Excel, MS-Office, MySQL, SAP, SolidWorks, Algorithms, Python, R Programming, Statistical Modeling, Tableau",6,0,0,0,0
162,ML0166,2,0,1,0,0,0,0,0,0,0,0,0,0,"C Programming, C++ Programming, MySQL, Neural Networks, Oracle, Python, Data Analytics, Data Science, Deep Learning, Machine Learning",6,0,0,0,0
163,ML0167,1,1,0,2,2,2,2,2,0,2,0,0,0,"MS-Excel, Python, R Programming, SQL",4,10,0,0,0
164,ML0168,1,1,0,0,0,2,0,0,0,0,0,0,0,"MS-Excel, SQL, Machine Learning, Python, R Programming",3,2,0,0,0
165,ML0169,2,0,0,2,0,2,2,1,0,0,0,0,0,"Data Analytics, Database Management System (DBMS), Python, Machine Learning",4,7,0,0,0
166,ML0170,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,5,0,0,0
167,ML0171,2,2,0,0,0,0,0,0,0,0,0,0,0,"CSS, HTML, JavaScript, jQuery, .NET, ASP.NET, Adobe Photoshop Lightroom CC, C#.NET, Machine Learning, Python, R Programming, SQL",5,4,0,0,0
168,ML0172,3,3,0,2,0,2,2,3,0,0,0,0,0,"Artifical Intelligence, MS-Excel, Machine Learning, Natural Language Processing (NLP), Neural Networks, Python, R Programming",9,9,1,0,2
169,ML0173,1,0,0,1,0,1,1,1,0,0,0,0,0,"C++ Programming, Java, Adobe XD, Data Science, Python",1,4,0,0,0
170,ML0174,0,0,0,1,1,1,1,0,0,0,0,0,0,"Algorithms, Data Structures, Java, Artifical Intelligence, Machine Learning, Neural Networks",5,3,0,0,0
171,ML0175,0,0,0,0,0,2,2,0,0,0,0,0,0,"Data Analytics, Machine Learning",2,4,0,0,0
172,ML0176,2,2,3,1,0,1,1,1,0,0,0,0,0,"Deep Learning, Machine Learning, OpenCV, C++ Programming, Computer Vision, Java, MySQL, Natural Language Processing (NLP), Python, R Programming, Statistical Modeling, BIG DATA ANALYTICS, C Programming",13,4,1,1,3
173,ML0177,2,0,2,0,0,1,1,1,0,0,0,0,0,"Deep Learning, Machine Learning, Python, Data Analytics, Natural Language Processing (NLP)",8,3,0,0,0
174,ML0178,2,2,2,0,0,2,2,0,0,2,0,0,0,"MS-Excel, MS-Office, MS-Word, Deep Learning, GNU Octave, MATLAB, Machine Learning, Neural Networks, Python, R Programming, Java, SQL",9,6,1,0,2
175,ML0179,2,0,2,0,2,2,2,1,0,2,0,0,0,"Data Analytics, Machine Learning, Artifical Intelligence, Deep Learning, Natural Language Processing (NLP), Python, Computer Vision, Image Processing",13,7,1,1,3
176,ML0180,2,2,2,0,0,0,0,0,0,0,0,0,0,"C++ Programming, Hadoop, Machine Learning, BIG DATA ANALYTICS, Deep Learning, MS-Excel, Neural Networks, Python, R Programming, SAS",10,0,1,0,2
177,ML0181,2,0,0,1,2,1,2,0,0,2,0,0,0,"Data Analytics, English Proficiency (Spoken), MS-Excel, Machine Learning, Python",6,6,0,0,0
178,ML0182,2,0,1,2,0,2,2,2,0,0,0,0,0,"C Programming, Data Analytics, Machine Learning, Python, Deep Learning, Java, Natural Language Processing (NLP), SQL",7,8,0,0,0
179,ML0183,2,2,2,2,3,3,2,2,0,2,0,2,0,"JavaScript, SQL, C Programming, CSS, Data Analytics, Data Structures, Database Management System (DBMS), Deep Learning, HTML, Image Processing, Java, MS-Excel, Machine Learning, Natural Language Processing (NLP), Node.js, PHP, Power BI, Python, R Programming, User Interface (UI) Development",16,14,1,1,3
180,ML0184,0,2,0,0,0,0,0,0,0,0,0,0,0,"Machine Learning, R Programming",3,0,0,0,0
181,ML0185,2,2,0,0,0,0,0,0,0,0,0,0,0,"C Programming, C++ Programming, Data Analytics, MS-Excel, Machine Learning, Python, R Programming, SQL",6,0,0,0,0
182,ML0186,1,0,0,3,0,3,2,3,0,0,0,0,0,"MySQL, Java, SQL, Data Analytics, MS-Excel, Machine Learning, Python",3,11,0,0,0
183,ML0187,2,0,2,0,0,2,0,2,0,0,0,0,0,"CSS, HTML, Arduino, Bootstrap, C Programming, Deep Learning, GitHub, Java, Machine Learning, Python, User Interface (UI) Development, Algorithms, Android, JavaScript",7,5,0,0,0
184,ML0188,3,0,0,0,0,0,0,0,0,0,0,0,0,"C++ Programming, Python, CSS, HTML, Java, JavaScript, SQL",3,0,0,0,0
185,ML0189,2,0,0,0,0,0,0,0,0,0,0,0,0,"Machine Learning, Python",3,0,0,0,0
186,ML0190,2,1,2,0,0,0,0,0,0,0,0,0,0,"Deep Learning, Machine Learning, Neural Networks, PostgreSQL, Python, Flask, MATLAB, MongoDB, R Programming",10,0,1,0,2
187,ML0191,2,0,0,2,2,2,2,2,0,2,0,0,0,"CSS, HTML, MS-Excel, MS-PowerPoint, PHP, Python, SPSS, SQL, WordPress, Machine Learning",7,10,0,0,0
188,ML0192,2,0,2,0,0,2,0,0,0,0,0,0,0,"C Programming, C++ Programming, Computer Vision, Data Analytics, Data Science, Deep Learning, Machine Learning, Natural Language Processing (NLP), Python, Statistical Modeling",10,2,1,0,2
189,ML0193,2,2,0,2,0,2,2,1,0,0,0,0,0,"MS-Excel, Python, R Programming",4,7,0,0,0
190,ML0194,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,5,0,0,0
191,ML0195,2,0,1,0,0,0,0,0,0,0,0,0,0,"Data Analytics, MS-Office, MS-Excel, Machine Learning, Neural Networks, Python, Statistical Modeling, Adobe Photoshop, Deep Learning, SQL",7,1,0,0,0
192,ML0196,2,0,0,2,0,2,2,3,0,0,0,0,0,"Android, C++ Programming, Java, Python, Machine Learning, Natural Language Processing (NLP), SQL",4,9,0,0,0
193,ML0197,1,0,0,1,0,1,1,1,0,0,0,0,0,"Data Analytics, HTML, MS-Excel, MS-PowerPoint, MS-Word, Database Management System (DBMS), Mathematics, MySQL, PHP, REST API, Software Testing, Python, Statistical Modeling",3,4,0,0,0
194,ML0198,3,0,2,1,1,1,1,0,0,0,0,0,0,"Python, Tableau, Deep Learning, Machine Learning",9,3,1,0,2
195,ML0199,1,1,0,0,0,2,2,0,0,0,0,0,0,"Machine Learning, Microsoft Azure, Python, R Programming",3,4,0,0,0
196,ML0200,2,0,0,1,0,1,1,1,0,0,0,0,0,"Data Analytics, English Proficiency (Spoken), ANSYS, C Programming, MS-Excel, Machine Learning, Python, SQL, Statistical Modeling",5,4,0,0,0
197,ML0201,0,0,0,0,0,1,1,1,0,0,0,0,0,"CSS, HTML, REST API, AJAX, ASP.NET, Angular 2.0, C#, GitHub, JavaScript, jQuery, Artifical Intelligence, Machine Learning",2,6,0,0,0
198,ML0202,2,0,1,0,0,2,2,0,0,2,0,0,0,"Data Analytics, MS-PowerPoint, MS-Word, Machine Learning, Statistical Modeling, Algorithms, Data Structures, Database Management System (DBMS), MS-Excel, MySQL, Python, SQL, Deep Learning, Power BI",10,6,1,0,2
199,ML0203,0,0,0,0,2,2,2,1,0,2,0,0,0,Software Testing,2,7,0,0,0
200,ML0204,3,2,1,0,0,0,0,0,0,0,0,0,0,"MS-Excel, MS-Office, Python, C Programming, C++ Programming, CSS, Data Analytics, Database Management System (DBMS), Email Marketing, HTML, Java, MS-PowerPoint, MS-Word, Machine Learning, MySQL, R Programming, SQL, Artifical Intelligence, Deep Learning, Neural Networks, WordPress",11,0,1,1,3
201,ML0205,2,0,0,1,2,1,2,0,0,2,0,0,0,"English Proficiency (Spoken), MS-Excel, Python, Data Analytics, Machine Learning",6,6,0,0,0
202,ML0206,2,0,2,2,0,2,2,2,0,0,0,0,0,"Algorithms, C Programming, Data Structures, Database Management System (DBMS), Deep Learning, Python, Android",7,8,0,0,0
203,ML0207,2,0,0,2,3,3,2,2,0,2,0,2,0,"Computer Vision, Image Processing, OpenCV, Python, Machine Learning",8,13,0,0,0
204,ML0208,1,0,0,0,0,0,0,0,0,0,0,0,0,"Android, Bootstrap, C++ Programming, CSS, HTML, Java, Angular 2.0, Firebase, JavaScript, Python",1,1,0,0,0
205,ML0209,2,0,0,0,0,0,0,0,0,0,0,0,0,"HTML, Java, Python",2,0,0,0,0
206,ML0210,2,0,0,3,0,3,2,3,0,0,0,0,0,"C++ Programming, Data Structures, Python, SQL, Java",3,11,0,0,0
207,ML0211,0,0,0,0,0,2,0,2,0,0,0,0,0,"English Proficiency (Spoken), MS-Office, .NET, Digital Marketing, SAP",0,5,0,0,0
208,ML0212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,ML0213,2,0,0,0,0,0,0,0,0,0,0,0,0,"English Proficiency (Spoken), MS-Excel, Machine Learning, Python, Data Analytics, SQL",4,0,0,0,0
210,ML0214,2,0,0,0,0,0,0,0,0,0,0,0,0,"Flask, MS-Excel, Machine Learning, Python, CSS, Data Analytics, GitHub, HTML, MongoDB, MySQL, SQL",5,0,0,0,0
211,ML0215,2,0,2,2,2,2,2,2,0,2,0,0,0,"Deep Learning, MS-Excel, Machine Learning, Python, Statistical Modeling",9,10,1,0,2
212,ML0216,2,2,2,0,0,2,0,0,0,0,0,0,0,"AutoCAD, MS-Excel, Deep Learning, Machine Learning, MySQL, Python, R Programming, SolidWorks, Statistical Modeling",9,2,1,0,2
213,ML0217,1,0,0,2,0,2,2,1,0,0,0,0,0,"MS-Excel, HTML, Python, SQL",1,7,0,0,0
214,ML0218,2,2,0,0,0,2,2,1,0,0,0,0,0,"Data Analytics, Machine Learning, Natural Language Processing (NLP), Python, R Programming, SQL, Statistical Modeling, Computer Vision",9,5,1,0,2
215,ML0219,3,2,2,0,0,0,0,0,0,0,0,0,0,"Data Analytics, Machine Learning, Python, C Programming, C++ Programming, Database Management System (DBMS), Deep Learning, MS-Excel, MySQL, Natural Language Processing (NLP), Neural Networks, R Programming, Statistical Modeling",12,0,1,1,3
216,ML0220,2,2,0,2,0,2,2,3,0,0,0,0,0,"Computer Vision, Data Analytics, Image Processing, Machine Learning, Mathematics, MongoDB, Natural Language Processing (NLP), Python, R Programming, Statistical Modeling, Cloud Computing, Hadoop, MySQL",12,9,1,1,3
217,ML0221,2,2,0,2,0,2,3,2,0,2,0,0,0,"CSS, Bootstrap, C Programming, Data Structures, Database Management System (DBMS), Django, HTML, Java, JavaScript, PHP, Python, Machine Learning",6,12,0,0,0
218,ML0222,0,0,0,2,2,2,2,2,0,0,0,0,0,"Adobe Photoshop, C Programming, C++ Programming, CSS, HTML, JavaScript, MS-Excel, MS-Office, MS-PowerPoint, MS-Word, Microsoft Visual Studio, MySQL, PHP, SQL, Shell Scripting, Computer Networking, Data Structures, Database Management System (DBMS), Flutter, Java, Linux, MS SQL Server, Perl, WordPress",4,9,0,0,0
219,ML0223,3,0,1,2,2,2,0,2,0,0,0,0,0,"C Programming, C++ Programming, Data Analytics, English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Hindi Proficiency (Written), Photography, Python, Algorithms, Angular 7.0, Data Structures, Database Management System (DBMS), HTML, JavaScript, MATLAB, Machine Learning, MySQL, SQL, Computer Vision, OpenCV",12,6,1,1,3
220,ML0224,2,0,2,1,0,2,0,0,0,0,0,0,0,"Telugu Proficiency (Written), WordPress, Android, AutoCAD, C Programming, Computer Networking, Database Management System (DBMS), HTML, Python, Social Media Marketing, Windows Mobile Application Development, Amazon Web Services (AWS), Java",5,3,0,0,0
221,ML0225,2,0,0,2,0,2,1,1,0,0,2,2,2,"Arduino, C Programming, C++ Programming, Firebase, HTML, MongoDB, Node.js, Python, ReactJS, Redux, jQuery, CSS, Django, JavaScript",4,12,0,0,0
222,ML0226,3,0,0,1,0,3,2,1,0,0,0,0,0,"C Programming, C++ Programming, HTML, Java, Python, ASP.NET, CSS, SQL, JavaScript, PHP",3,8,0,0,0
223,ML0227,0,0,0,0,0,0,0,0,0,0,0,0,0,"Java, Android, C++ Programming",0,0,0,0,0
224,ML0228,0,1,0,0,0,2,0,0,0,0,0,0,0,"Android, C Programming, HTML, Java, User Interface (UI) Development",1,3,0,0,0
225,ML0229,0,0,0,0,0,2,2,0,0,0,0,0,0,"Android, CSS, HTML, Java",0,4,0,0,0
226,ML0230,0,0,2,0,0,2,2,2,0,0,0,0,2,"MS-Word, C Programming, CSS, Embedded Systems, HTML, JavaScript, MS-Excel, MS-Office, MS-PowerPoint, ReactJS",2,8,0,0,0
227,ML0231,2,0,0,0,0,0,0,0,0,0,0,0,0,"C Programming, Java, Python, Android",2,0,0,0,0
228,ML0232,2,0,2,1,0,2,0,0,0,0,0,0,0,"Android, HTML, Java, Python, PHP",4,3,0,0,0
229,ML0233,2,2,1,1,0,2,2,1,0,0,0,0,0,"C Programming, C++ Programming, CSS, HTML, Python, Artifical Intelligence, Java, JavaScript, Machine Learning, PHP",7,6,0,0,0
230,ML0234,2,2,0,2,1,0,0,0,0,0,0,0,0,"C Programming, C++ Programming, Java, PHP, Python, MySQL, NoSQL",5,2,0,0,0
231,ML0235,1,0,0,0,0,0,0,0,0,0,0,0,0,"C Programming, Android, Java, Python",1,0,0,0,0
232,ML0236,2,0,0,0,2,2,2,1,1,1,0,0,0,"SQL, Search Engine Optimization (SEO), UI & UX Design, User Interface (UI) Development, Visual Basic (VB), Adobe Dreamweaver, Amazon Web Services (AWS), C#.NET, CSS, Creative Writing, Eclipse (IDE), English Proficiency (Spoken), English Proficiency (Written), HTML, Hindi Proficiency (Written), JSP, MS SQL Server, MS-Excel, MS-Office, Magento, MySQL, Python, Servlets, Teaching, WordPress, AJAX, ASP.NET, Android, AngularJS, Bootstrap, C++ Programming, Data Structures, Django, Java, JavaScript, Machine Learning, NoSQL, SQLite, XML, jQuery",8,15,0,0,0
233,ML0237,0,0,0,2,0,2,2,0,0,0,0,0,0,".NET, Android, C Programming, C#, CSS, HTML, PHP, Java",0,7,0,0,0
234,ML0238,1,0,0,0,0,2,2,1,0,0,0,0,0,"C Programming, Android, Angular 7.0, C++ Programming, CSS, HTML, J2EE, Java, SQL, Django, JavaScript, Python",1,6,0,0,0
235,ML0239,2,0,0,0,0,2,1,0,0,0,0,0,0,"C Programming, HTML, MS-Office, MS-PowerPoint, Python, CSS, Django",2,4,0,0,0
236,ML0240,0,0,0,2,2,2,2,2,0,0,0,0,1,"CSS, HTML, JavaScript, Manual Testing, MySQL, PHP, Software Testing, ReactJS",2,9,0,0,0
237,ML0241,1,0,0,2,2,3,3,2,0,2,2,2,0,"CSS, HTML, Amazon Web Services (AWS), Android, AngularJS, Bootstrap, C Programming, C++ Programming, GitHub, Internet of Things (IoT), Java, JavaScript, Linux, MS-Excel, Manual Testing, MongoDB, MySQL, NoSQL, Node.js, PHP, SQLite, Software Testing, UI & UX Design, Unix, Machine Learning, Python, jQuery",7,16,0,0,0
238,ML0242,1,1,0,0,0,0,0,0,0,0,0,0,0,"Android, C Programming, C++ Programming, Java, MS-Office, MS-PowerPoint, Python",2,0,0,0,0
239,ML0243,0,0,0,0,0,2,2,0,0,0,0,0,0,"C Programming, CSS, Database Management System (DBMS), HTML, Java, SQL, XML",0,5,0,0,0
240,ML0244,1,0,2,0,0,0,0,0,0,0,0,0,0,"Android, Python",3,0,0,0,0
241,ML0245,2,0,0,0,2,0,2,2,0,0,0,0,0,"Amazon Web Services (AWS), C Programming, CSS, Data Structures, Database Management System (DBMS), Java, JavaScript, MySQL, Python, Computer Networking, Data Analytics, Linux, R Programming, SAP",6,4,0,0,0
242,ML0246,0,0,0,0,0,2,0,0,0,0,0,0,0,"HTML, Java",0,2,0,0,0
243,ML0247,2,0,0,0,0,2,2,1,0,0,0,0,0,"CSS, HTML, Python, SQL, JavaScript",2,5,0,0,0
244,ML0248,0,0,2,0,0,0,0,0,0,0,0,0,0,"Android, Java",2,0,0,0,0
245,ML0249,1,1,0,2,0,2,1,2,0,0,0,0,0,"C Programming, C++ Programming, HTML, Java, JavaScript, PHP, Android, CSS, Django, Python, R Programming",2,8,0,0,0
